,acea,aceb,acek,fabb,fabd,fabg,fabh,fadd,fade,fadh,fadi,fadj,fadr,hipa,hipb,iclr
lacZ_K12_t30_r1,7.44151,7.62351,7.77379,11.7543,11.7947,12.8638,11.811,7.95933,8.56356,8.65816,8.27954,8.96283,9.20075,7.6493,8.3113,8.76071
lacZ_K12_t60_r1,7.94053,7.69763,7.90579,11.8951,11.7092,12.755,11.8526,8.0612,8.67647,8.68697,8.38189,8.73308,8.97956,7.8147,8.28955,8.61252
lacZ_K12_t90_r1,7.54762,7.79103,7.70856,11.6446,11.2813,12.2386,11.4033,8.18525,8.73124,8.71231,8.2556,8.65398,9.08951,7.78163,7.98482,8.71715
lacZ_K12_t120_r1,7.64723,8.01483,7.84666,11.6437,11.2691,12.0615,11.504,8.10168,8.79882,8.62692,8.35523,8.26327,8.89156,7.85729,8.1803,8.94564
lacZ_MG1063_t0_r1,9.70239,10.1345,7.87735,12.1639,11.6007,12.6757,11.5163,8.53024,8.29514,8.74367,8.44473,8.89594,9.34905,7.27526,7.82319,9.1426
lacZ_MG1063_t0_r2,9.44737,10.0606,7.88184,12.0064,11.6139,12.6429,11.6933,8.74462,7.98074,8.55361,8.56687,8.89962,9.38122,7.20914,7.82655,9.26394
lacZ_MG1063_t30_r1,9.8538,9.9566,7.87946,11.6543,11.207,12.2625,11.0204,8.03397,8.28295,8.65012,8.0966,8.28009,9.14464,7.45907,8.04856,8.91475
lacZ_MG1063_t30_r2,9.58125,9.91505,7.84508,11.5633,11.3738,12.4844,11.3548,8.14742,8.15259,8.58216,8.13152,8.41644,8.98211,7.27057,7.94491,8.92056
lacZ_MG1063_t60_r1,9.99003,10.1961,8.00933,12.0565,11.0909,12.2501,10.8556,7.80028,8.23126,8.66682,8.21023,8.36214,9.14398,7.59627,8.14044,8.91897
lacZ_MG1063_t60_r2,9.85006,10.215,8.17899,11.928,11.1885,12.4008,11.0575,7.8837,8.53969,8.51637,8.25771,8.54772,9.2094,7.42714,8.10796,8.88443
lacZ_MG1063_t90_r1,10.2429,10.6427,8.03277,12.026,11.0062,12.1651,10.971,7.83987,8.30046,8.63023,8.18395,8.37589,9.30834,7.60928,8.20778,8.82103
lacZ_MG1063_t90_r2,10.0588,10.4656,8.1563,11.933,11.0098,12.1885,10.8633,7.854,8.33646,8.59122,8.08212,8.35796,9.23618,7.64222,8.29981,9.00461
